GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.online.judge.backend.service,CustomUserDetailsService,0,21,0,0,0,6,0,3,0,3
backend,com.online.judge.backend.service,TestCaseResultService,32,13,0,0,8,5,3,2,3,2
backend,com.online.judge.backend.service,ProblemService,0,124,0,2,0,31,0,8,0,7
backend,com.online.judge.backend.service,SubmissionService,6,234,0,0,0,54,2,12,2,12
backend,com.online.judge.backend.service,UserService,0,84,0,4,0,21,0,6,0,4
backend,com.online.judge.backend.model,User,0,22,0,0,0,7,0,7,0,7
backend,com.online.judge.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
backend,com.online.judge.backend.util,UserUtil,10,22,3,3,2,6,3,2,0,2
backend,com.online.judge.backend.util,JwtUtil,1,94,2,2,0,23,2,10,0,10
backend,com.online.judge.backend.converter,TagConverter,0,12,0,0,0,4,0,1,0,1
backend,com.online.judge.backend.converter,TestCaseConverter,0,65,0,0,0,15,0,5,0,5
backend,com.online.judge.backend.converter,UserConverter,1,36,1,1,0,8,1,2,0,2
backend,com.online.judge.backend.converter,SubmissionConverter,0,83,0,0,0,30,0,4,0,4
backend,com.online.judge.backend.converter,ProblemConverter,0,103,0,0,0,28,0,7,0,7
backend,com.online.judge.backend.converter,TestCaseResultConverter,64,0,0,0,14,0,3,0,3,0
backend,com.online.judge.backend.dto.response,GetSubmissionByIdResponse,0,6,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.response,ListSubmissionsResponse,0,6,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.response,SubmitCodeResponse,0,6,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.response,AuthResponse,0,6,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.response,CreateProblemResponse,0,6,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.response,GetProblemByIdResponse,0,6,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.response,ListProblemsResponse,0,6,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.exception,UserNotAuthorizedException,0,4,0,0,0,2,0,1,0,1
backend,com.online.judge.backend.exception,ProblemNotFoundException,0,4,0,0,0,2,0,1,0,1
backend,com.online.judge.backend.exception,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
backend,com.online.judge.backend.exception,SubmissionNotFoundException,0,4,0,0,0,2,0,1,0,1
backend,com.online.judge.backend.dto.message,StatusUpdateMessage,9,0,0,0,1,0,1,0,1,0
backend,com.online.judge.backend.dto.message,ResultNotificationMessage,18,0,0,0,1,0,1,0,1,0
backend,com.online.judge.backend.dto.message,TestCaseResultMessage,18,0,0,0,1,0,1,0,1,0
backend,com.online.judge.backend.dto.message,TestCaseMessage,0,12,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.message,SubmissionMessage,0,21,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.model.shared,ProblemDifficulty,0,21,0,0,0,4,0,1,0,1
backend,com.online.judge.backend.model.shared,UserRole,0,15,0,0,0,3,0,1,0,1
backend,com.online.judge.backend.model.shared,SubmissionLanguage,0,27,0,0,0,5,0,1,0,1
backend,com.online.judge.backend.model.shared,ProblemTag,0,39,0,0,0,7,0,1,0,1
backend,com.online.judge.backend.model.shared,SubmissionStatus,0,45,0,0,0,8,0,1,0,1
backend,com.online.judge.backend.controller,AuthController,0,123,0,2,0,31,0,6,0,5
backend,com.online.judge.backend.controller,ProblemController,0,59,0,0,0,13,0,5,0,5
backend,com.online.judge.backend.controller,SubmissionController,0,58,0,0,0,14,0,5,0,5
backend,com.online.judge.backend.dto.ui,UserSummaryUi,0,6,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.ui,SubmissionDetailsUi,0,33,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.ui,TestCaseUi,0,12,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.ui,ProblemSummaryUi,0,15,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.ui,TestResultSummaryUi,15,0,0,0,1,0,1,0,1,0
backend,com.online.judge.backend.dto.ui,ProblemDetailsUi,0,27,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.ui,SubmissionSummaryUi,0,21,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.request,CreateTestCaseRequest,0,15,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.request,SubmitCodeRequest,0,12,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.request,CreateProblemRequest,0,24,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.request,RegisterRequest,0,21,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.request,LoginRequest,0,9,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.queue,StatusListener,50,13,0,0,15,5,1,2,1,2
backend,com.online.judge.backend.queue,ResultListener,57,16,0,0,19,6,1,2,1,2
backend,com.online.judge.backend.queue,SubmissionPublisher,25,43,4,0,9,13,3,4,1,4
backend,com.online.judge.backend.config,JwtAuthFilter,0,74,4,6,0,19,4,3,0,2
backend,com.online.judge.backend.config,OpenApiConfig,0,3,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.config,SecurityConfig,0,117,0,0,0,21,0,10,0,10
backend,com.online.judge.backend.config,RabbitMqConfig,0,88,0,0,0,20,0,14,0,14
